mid,gid
312,14
313,0
314,0
314,9
314,11
315,6
315,8
315,3
316,0
317,0
317,17
318,0
318,1
319,1
319,11
320,6
320,15
321,6
321,1
321,8
321,3
321,4
322,6
322,2
322,8
322,4
323,8
324,10
325,0
326,0
326,1
326,9
327,0
328,0
329,15
330,0
331,0
331,15
331,9
331,4
332,0
332,15
332,14
333,1
333,2
333,10
334,6
334,15
334,12
335,0
335,2
335,8
336,0
336,1
336,21
337,0
338,0
338,10
339,0
339,1
339,3
339,20
340,0
341,0
341,17
342,9
342,21
343,0
344,1
344,10
344,11
345,10
346,0
346,6
346,15
347,0
347,18
348,0
348,6
348,1
348,14
348,20
349,6
349,21
350,6
350,1
350,15
350,9
350,11
351,1
352,0
352,18
353,1
353,3
354,0
355,6
355,15
356,1
356,10
356,11
357,6
358,0
358,1
358,2
358,8
358,10
358,3
358,4
359,1
359,2
359,8
359,3
359,4
360,15
361,6
361,15
362,10
363,0
363,2
363,9
363,10
364,2
364,21
365,0
365,8
365,3
366,6
367,6
367,15
368,1
368,10
369,0
370,0
370,6
370,15
371,0
371,2
372,6
372,10
373,0
373,1
373,9
373,10
373,4
374,0
375,0
376,10
376,21
376,20
377,0
377,14
377,11
377,16
378,0
379,0
379,3
380,1
380,21
381,0
382,0
383,6
383,1
383,15
383,11
384,0
385,0
385,6
386,0
387,6
387,17
388,0
389,0
389,13
390,0
390,1
390,9
390,10
390,11
391,2
391,4
392,0
393,6
393,15
394,0
395,0
395,10
396,0
396,10
397,0
397,6
398,0
399,0
400,0
400,2
400,4
401,0
401,6
401,15
402,0
402,6
403,0
403,6
404,6
405,0
405,1
405,18
406,0
407,2
407,21
408,0
408,6
409,0
409,1
409,18
410,0
410,7
411,21
411,11
412,6
412,8
412,3
413,6
413,9
413,21
413,4
414,0
414,15
415,0
415,1
415,10
415,11
417,6
417,15
418,0
419,0
419,1
420,21
421,0
421,6
421,8
422,0
422,1
422,14
423,0
424,0
425,0
425,13
425,7
426,0
426,15
427,6
427,2
427,8
427,4
428,1
428,2
428,9
429,10
429,21
430,0
430,12
431,6
431,1
431,4
432,6
432,15
433,0
433,9
433,11
434,6
434,9
434,10
434,11
435,1
435,10
435,11
436,21
437,0
438,0
438,9
438,11
439,0
439,12
440,0
441,10
441,21
441,11
442,0
442,15
442,22
443,6
444,6
444,15
445,6
446,0
446,11
447,0
447,6
448,6
448,8
448,4
449,0
449,8
449,3
450,0
450,15
450,24
451,2
451,4
451,24
452,6
452,8
452,22
452,3
453,0
453,2
454,0
454,2
454,4
455,0
455,15
456,0
456,1
456,11
457,0
457,6
457,22
457,13
458,0
458,6
458,8
458,3
459,0
459,15
459,17
460,0
460,2
460,9
460,4
461,0
461,6
461,15
462,0
462,12
462,13
462,7
463,0
463,6
463,15
463,5
464,0
464,6
464,1
464,16
465,0
465,15
465,8
466,0
466,22
467,0
467,12
467,13
468,0
468,15
468,11
469,6
469,15
469,3
469,20
470,1
470,2
470,4
471,3
471,4
472,0
473,6
473,1
473,11
473,3
474,1
474,10
474,24
475,0
